date,temp_atmos_10,radW/m2,netW/m2
date
2022-01-03 10:00:00+00:00,-13.66,63.98,-5.77
2022-01-03 10:15:00+00:00,-14.03,62.26,-7.73
2022-01-03 10:30:00+00:00,-14.12,63.55,-7.18
2022-01-03 10:45:00+00:00,-14.08,65.48,-6.87
2022-01-03 11:00:00+00:00,-14.06,64.46,-5.53
2022-01-03 11:15:00+00:00,-14.14,65.26,-6.10
2022-01-03 11:30:00+00:00,-14.39,63.46,-6.81
2022-01-03 11:45:00+00:00,-14.51,65.03,-7.18
2022-01-03 12:00:00+00:00,-14.62,65.52,-8.73
2022-01-03 12:15:00+00:00,-14.85,64.56,-7.13
2022-01-03 12:30:00+00:00,-15.04,64.98,-5.42
2022-01-03 12:45:00+00:00,-15.15,64.17,-7.37
2022-01-03 13:00:00+00:00,-15.33,64.98,-7.58
2022-01-03 13:15:00+00:00,-15.40,67.00,-5.74
2022-01-03 13:30:00+00:00,-15.53,71.73,-1.13
2022-01-03 13:45:00+00:00,-15.53,106.41,24.99
2022-01-03 14:00:00+00:00,-15.47,170.62,51.84
2022-01-03 14:15:00+00:00,-15.14,215.24,71.89
2022-01-03 14:30:00+00:00,-14.75,251.62,88.94
2022-01-03 14:45:00+00:00,-14.59,296.74,105.78
2022-01-03 15:00:00+00:00,-13.94,343.84,124.69
2022-01-03 15:15:00+00:00,-13.40,377.94,145.73
2022-01-03 15:30:00+00:00,-12.81,401.89,182.93
2022-01-03 15:45:00+00:00,-12.30,430.77,241.70
2022-01-03 16:00:00+00:00,-12.02,468.12,273.09
2022-01-03 16:15:00+00:00,-11.34,514.95,235.38
2022-01-03 16:30:00+00:00,-11.02,540.70,210.06
2022-01-03 16:45:00+00:00,-10.44,560.07,202.40
2022-01-03 17:00:00+00:00,-10.06,554.68,185.18
2022-01-03 17:15:00+00:00,-9.99,548.76,196.03
2022-01-03 17:30:00+00:00,-9.68,538.46,183.06
2022-01-03 17:45:00+00:00,-9.48,532.30,172.43
2022-01-03 18:00:00+00:00,-9.25,531.07,179.94
2022-01-03 18:15:00+00:00,-8.92,529.55,178.64
2022-01-03 18:30:00+00:00,-8.66,524.63,167.84
2022-01-03 18:45:00+00:00,-8.42,514.09,160.28
2022-01-03 19:00:00+00:00,-7.99,495.86,148.96
2022-01-03 19:15:00+00:00,-7.49,473.03,145.59
2022-01-03 19:30:00+00:00,-7.32,453.88,133.97
2022-01-03 19:45:00+00:00,-7.01,440.47,131.14
2022-01-03 20:00:00+00:00,-6.70,422.22,122.20
2022-01-03 20:15:00+00:00,-6.76,395.96,99.67
2022-01-03 20:30:00+00:00,-6.63,363.69,95.91
2022-01-03 20:45:00+00:00,-6.44,328.14,84.06
2022-01-03 21:00:00+00:00,-6.48,294.02,64.14
2022-01-03 21:15:00+00:00,-6.49,255.20,54.96
2022-01-03 21:30:00+00:00,-6.65,215.37,31.75
2022-01-03 21:45:00+00:00,-6.66,178.56,7.39
2022-01-03 22:00:00+00:00,-6.78,142.53,-17.73
2022-01-03 22:15:00+00:00,-6.88,107.98,-34.20
2022-01-03 22:30:00+00:00,-7.20,75.82,-81.23
2022-01-03 22:45:00+00:00,-7.51,62.96,-126.47
2022-01-03 23:00:00+00:00,-7.65,61.71,-30.61
2022-01-03 23:15:00+00:00,-7.77,59.00,-14.85
2022-01-03 23:30:00+00:00,-7.91,60.66,-12.80
2022-01-03 23:45:00+00:00,-8.10,60.40,-12.59
2022-01-04 00:00:00+00:00,-8.30,61.41,-11.60
2022-01-04 00:15:00+00:00,-8.14,61.11,-9.79
2022-01-04 00:30:00+00:00,-8.07,61.74,-11.05
2022-01-04 00:45:00+00:00,-8.05,60.80,-10.64
2022-01-04 01:00:00+00:00,-8.04,61.28,-10.82
2022-01-04 01:15:00+00:00,-7.99,60.30,-10.74
2022-01-04 01:30:00+00:00,-7.96,60.80,-11.33
2022-01-04 01:45:00+00:00,-7.76,60.92,-9.62
2022-01-04 02:00:00+00:00,-7.81,59.95,-11.14
2022-01-04 02:15:00+00:00,-7.92,59.29,-11.29
2022-01-04 02:30:00+00:00,-8.01,59.83,-11.38
2022-01-04 02:45:00+00:00,-8.12,59.96,-11.59
2022-01-04 03:00:00+00:00,-8.06,60.92,-10.75
2022-01-04 03:15:00+00:00,-7.99,59.98,-10.57
2022-01-04 03:30:00+00:00,-7.79,58.46,-10.31
2022-01-04 03:45:00+00:00,-7.49,59.23,-10.07
2022-01-04 04:00:00+00:00,-7.28,58.37,-9.83
2022-01-04 04:15:00+00:00,-7.11,58.00,-9.92
2022-01-04 04:30:00+00:00,-7.03,59.09,-10.41
2022-01-04 04:45:00+00:00,-7.08,57.92,-10.80
2022-01-04 05:00:00+00:00,-7.07,59.71,-10.60
2022-01-04 05:15:00+00:00,-7.11,58.32,-10.55
2022-01-04 05:30:00+00:00,-7.11,58.80,-10.02
2022-01-04 05:45:00+00:00,-7.13,57.96,-9.97
2022-01-04 06:00:00+00:00,-7.15,58.50,-10.28
2022-01-04 06:15:00+00:00,-7.24,57.47,-10.12
2022-01-04 06:30:00+00:00,-7.29,58.40,-9.59
2022-01-04 06:45:00+00:00,-7.23,57.39,-8.84
2022-01-04 07:00:00+00:00,-7.13,58.49,-8.66
2022-01-04 07:15:00+00:00,-7.07,57.60,-9.10
2022-01-04 07:30:00+00:00,-6.95,58.30,-10.14
2022-01-04 07:45:00+00:00,-6.99,57.32,-10.86
2022-01-04 08:00:00+00:00,-7.03,57.22,-10.65
2022-01-04 08:15:00+00:00,-7.04,57.73,-10.17
2022-01-04 08:30:00+00:00,-6.90,57.63,-9.71
2022-01-04 08:45:00+00:00,-6.72,57.63,-9.92
2022-01-04 09:00:00+00:00,-6.60,57.91,-9.86
2022-01-04 09:15:00+00:00,-6.50,57.48,-10.37
